Age,L,M,S
0,-0.305300,13.4069,0.09560
1,-0.172600,14.4632,0.09230
2,-0.039900,15.5194,0.08900
3,0.092800,16.5757,0.08570
4,0.105200,16.8817,0.08452
5,0.117600,17.1877,0.08335
6,0.130000,17.4937,0.08217
7,0.131717,17.4463,0.08209
8,0.133433,17.3990,0.08201
9,0.135150,17.3516,0.08194
10,0.136867,17.3042,0.08186
11,0.138583,17.2569,0.08178
12,0.140300,17.2095,0.08170
13,0.136942,17.1567,0.08172
14,0.133583,17.1039,0.08175
15,0.130225,17.0511,0.08178
16,0.126867,16.9982,0.08180
17,0.123508,16.9454,0.08182
18,0.120150,16.8926,0.08185
19,0.116792,16.8398,0.08188
20,0.113433,16.7870,0.08190
21,0.110075,16.7341,0.08192
22,0.106717,16.6813,0.08195
23,0.103358,16.6285,0.08198
24,0.100000,16.5757,0.08200
25,0.095833,16.5361,0.08208
26,0.091667,16.4964,0.08217
27,0.087500,16.4568,0.08225
28,0.083333,16.4171,0.08233
29,0.079167,16.3775,0.08242
30,0.075000,16.3379,0.08250
31,0.070833,16.2982,0.08258
32,0.066667,16.2586,0.08267
33,0.062500,16.2189,0.08275
34,0.058333,16.1793,0.08283
35,0.054167,16.1396,0.08292
36,0.050000,16.1000,0.08300
37,0.047500,16.0833,0.08308
38,0.045000,16.0667,0.08317
39,0.042500,16.0500,0.08325
40,0.040000,16.0333,0.08333
41,0.037500,16.0167,0.08342
42,0.035000,16.0000,0.08350
43,0.032500,15.9833,0.08358
44,0.030000,15.9667,0.08367
45,0.027500,15.9500,0.08375
46,0.025000,15.9333,0.08383
47,0.022500,15.9167,0.08392
48,0.020000,15.9000,0.08400
49,0.018333,15.8917,0.08408
50,0.016667,15.8833,0.08417
51,0.015000,15.8750,0.08425
52,0.013333,15.8667,0.08433
53,0.011667,15.8583,0.08442
54,0.010000,15.8500,0.08450
55,0.008333,15.8417,0.08458
56,0.006667,15.8333,0.08467
57,0.005000,15.8250,0.08475
58,0.003333,15.8167,0.08483
59,0.001667,15.8083,0.08492
60,0.000000,15.8000,0.08500
