Age,L,M,S
0,-0.305300,13.3363,0.09272
1,-0.186867,14.2909,0.08981
2,-0.068433,15.2454,0.08691
3,0.050000,16.2000,0.08400
4,0.060000,16.4667,0.08300
5,0.070000,16.7333,0.08200
6,0.080000,17.0000,0.08100
7,0.083333,16.9667,0.08092
8,0.086667,16.9333,0.08083
9,0.090000,16.9000,0.08075
10,0.093333,16.8667,0.08067
11,0.096667,16.8333,0.08058
12,0.100000,16.8000,0.08050
13,0.098333,16.7667,0.08054
14,0.096667,16.7333,0.08058
15,0.095000,16.7000,0.08063
16,0.093333,16.6667,0.08067
17,0.091667,16.6333,0.08071
18,0.090000,16.6000,0.08075
19,0.088333,16.5667,0.08079
20,0.086667,16.5333,0.08083
21,0.085000,16.5000,0.08088
22,0.083333,16.4667,0.08092
23,0.081667,16.4333,0.08096
24,0.080000,16.4000,0.08100
25,0.076667,16.3750,0.08108
26,0.073333,16.3500,0.08117
27,0.070000,16.3250,0.08125
28,0.066667,16.3000,0.08133
29,0.063333,16.2750,0.08142
30,0.060000,16.2500,0.08150
31,0.056667,16.2250,0.08158
32,0.053333,16.2000,0.08167
33,0.050000,16.1750,0.08175
34,0.046667,16.1500,0.08183
35,0.043333,16.1250,0.08192
36,0.040000,16.1000,0.08200
37,0.037500,16.0875,0.08208
38,0.035000,16.0750,0.08217
39,0.032500,16.0625,0.08225
40,0.030000,16.0500,0.08233
41,0.027500,16.0375,0.08242
42,0.025000,16.0250,0.08250
43,0.022500,16.0125,0.08258
44,0.020000,16.0000,0.08267
45,0.017500,15.9875,0.08275
46,0.015000,15.9750,0.08283
47,0.012500,15.9625,0.08292
48,0.010000,15.9500,0.08300
49,0.008333,15.9417,0.08308
50,0.006667,15.9333,0.08317
51,0.005000,15.9250,0.08325
52,0.003333,15.9167,0.08333
53,0.001667,15.9083,0.08342
54,0.000000,15.9000,0.08350
55,-0.001667,15.8917,0.08358
56,-0.003333,15.8833,0.08367
57,-0.005000,15.8750,0.08375
58,-0.006667,15.8667,0.08383
59,-0.008333,15.8583,0.08392
60,-0.010000,15.8500,0.08400
