Age,L,M,S
0,1.000000,34.4618,0.03686
1,1.000000,37.1939,0.03424
2,1.000000,38.8536,0.03306
3,1.000000,40.5133,0.03187
4,1.000000,41.4524,0.03144
5,1.000000,42.3915,0.03100
6,1.000000,43.3306,0.03057
7,1.000000,43.9017,0.03047
8,1.000000,44.4729,0.03037
9,1.000000,45.0440,0.03027
10,1.000000,45.6152,0.03017
11,1.000000,46.1863,0.03007
12,1.000000,46.7575,0.02997
13,1.000000,46.9314,0.02993
14,1.000000,47.1053,0.02990
15,1.000000,47.2792,0.02986
16,1.000000,47.4531,0.02982
17,1.000000,47.6270,0.02978
18,1.000000,47.8008,0.02975
19,1.000000,47.9747,0.02971
20,1.000000,48.1486,0.02967
21,1.000000,48.3225,0.02963
22,1.000000,48.4964,0.02959
23,1.000000,48.6703,0.02956
24,1.000000,48.8442,0.02952
25,1.000000,48.9396,0.02950
26,1.000000,49.0350,0.02948
27,1.000000,49.1303,0.02946
28,1.000000,49.2257,0.02944
29,1.000000,49.3211,0.02942
30,1.000000,49.4165,0.02940
31,1.000000,49.5119,0.02938
32,1.000000,49.6073,0.02936
33,1.000000,49.7026,0.02934
34,1.000000,49.7980,0.02932
35,1.000000,49.8934,0.02930
36,1.000000,49.9888,0.02928
37,1.000000,50.0470,0.02927
38,1.000000,50.1052,0.02926
39,1.000000,50.1633,0.02925
40,1.000000,50.2215,0.02923
41,1.000000,50.2797,0.02922
42,1.000000,50.3379,0.02921
43,1.000000,50.3961,0.02920
44,1.000000,50.4543,0.02919
45,1.000000,50.5125,0.02917
46,1.000000,50.5706,0.02916
47,1.000000,50.6288,0.02915
48,1.000000,50.6870,0.02914
49,1.000000,50.7297,0.02913
50,1.000000,50.7725,0.02912
51,1.000000,50.8152,0.02910
52,1.000000,50.8580,0.02909
53,1.000000,50.9008,0.02908
54,1.000000,50.9435,0.02907
55,1.000000,50.9862,0.02906
56,1.000000,51.0290,0.02905
57,1.000000,51.0718,0.02904
58,1.000000,51.1145,0.02902
59,1.000000,51.1573,0.02901
60,1.000000,51.2000,0.02900
