Age,L,M,S
0,1.000000,33.8787,0.03496
1,1.000000,36.5463,0.03264
2,1.000000,38.1595,0.03153
3,1.000000,39.7728,0.03042
4,1.000000,40.6783,0.03001
5,1.000000,41.5837,0.02959
6,1.000000,42.4892,0.02918
7,1.000000,43.0452,0.02907
8,1.000000,43.6012,0.02896
9,1.000000,44.1572,0.02885
10,1.000000,44.7131,0.02874
11,1.000000,45.2691,0.02863
12,1.000000,45.8251,0.02852
13,1.000000,46.0043,0.02848
14,1.000000,46.1835,0.02845
15,1.000000,46.3627,0.02841
16,1.000000,46.5420,0.02837
17,1.000000,46.7212,0.02834
18,1.000000,46.9004,0.02830
19,1.000000,47.0796,0.02826
20,1.000000,47.2588,0.02823
21,1.000000,47.4381,0.02819
22,1.000000,47.6173,0.02815
23,1.000000,47.7965,0.02812
24,1.000000,47.9757,0.02808
25,1.000000,48.0685,0.02806
26,1.000000,48.1614,0.02804
27,1.000000,48.2542,0.02802
28,1.000000,48.3471,0.02800
29,1.000000,48.4399,0.02798
30,1.000000,48.5328,0.02796
31,1.000000,48.6256,0.02794
32,1.000000,48.7184,0.02792
33,1.000000,48.8113,0.02790
34,1.000000,48.9041,0.02788
35,1.000000,48.9970,0.02786
36,1.000000,49.0898,0.02784
37,1.000000,49.1490,0.02783
38,1.000000,49.2082,0.02782
39,1.000000,49.2673,0.02780
40,1.000000,49.3265,0.02779
41,1.000000,49.3857,0.02778
42,1.000000,49.4449,0.02777
43,1.000000,49.5041,0.02776
44,1.000000,49.5633,0.02775
45,1.000000,49.6225,0.02773
46,1.000000,49.6816,0.02772
47,1.000000,49.7408,0.02771
48,1.000000,49.8000,0.02770
49,1.000000,49.8417,0.02769
50,1.000000,49.8833,0.02768
51,1.000000,49.9250,0.02767
52,1.000000,49.9667,0.02767
53,1.000000,50.0083,0.02766
54,1.000000,50.0500,0.02765
55,1.000000,50.0917,0.02764
56,1.000000,50.1333,0.02763
57,1.000000,50.1750,0.02763
58,1.000000,50.2167,0.02762
59,1.000000,50.2583,0.02761
60,1.000000,50.3000,0.02760
