Age,L,M,S
0,1.000000,49.8842,0.03795
1,1.000000,54.7244,0.03557
2,1.000000,58.0768,0.03442
3,1.000000,61.4292,0.03328
4,1.000000,63.4940,0.03274
5,1.000000,65.5588,0.03219
6,1.000000,67.6236,0.03165
7,1.000000,68.9778,0.03157
8,1.000000,70.3320,0.03149
9,1.000000,71.6862,0.03141
10,1.000000,73.0404,0.03133
11,1.000000,74.3946,0.03125
12,1.000000,75.7488,0.03117
13,1.000000,76.6942,0.03122
14,1.000000,77.6397,0.03127
15,1.000000,78.5851,0.03131
16,1.000000,79.5306,0.03136
17,1.000000,80.4760,0.03141
18,1.000000,81.4214,0.03145
19,1.000000,82.3669,0.03150
20,1.000000,83.3123,0.03155
21,1.000000,84.2578,0.03160
22,1.000000,85.2032,0.03164
23,1.000000,86.1487,0.03169
24,1.000000,87.0941,0.03174
25,1.000000,87.8423,0.03187
26,1.000000,88.5905,0.03200
27,1.000000,89.3388,0.03213
28,1.000000,90.0870,0.03225
29,1.000000,90.8352,0.03238
30,1.000000,91.5834,0.03251
31,1.000000,92.3316,0.03264
32,1.000000,93.0798,0.03277
33,1.000000,93.8280,0.03289
34,1.000000,94.5763,0.03302
35,1.000000,95.3245,0.03315
36,1.000000,96.0727,0.03328
37,1.000000,96.6773,0.03342
38,1.000000,97.2818,0.03356
39,1.000000,97.8863,0.03370
40,1.000000,98.4909,0.03384
41,1.000000,99.0954,0.03398
42,1.000000,99.7000,0.03412
43,1.000000,100.3045,0.03426
44,1.000000,100.9091,0.03440
45,1.000000,101.5136,0.03454
46,1.000000,102.1182,0.03468
47,1.000000,102.7227,0.03482
48,1.000000,103.3273,0.03496
49,1.000000,103.8328,0.03512
50,1.000000,104.3383,0.03527
51,1.000000,104.8438,0.03542
52,1.000000,105.3493,0.03558
53,1.000000,105.8548,0.03573
54,1.000000,106.3603,0.03589
55,1.000000,106.8658,0.03605
56,1.000000,107.3713,0.03620
57,1.000000,107.8768,0.03635
58,1.000000,108.3823,0.03651
59,1.000000,108.8878,0.03666
60,1.000000,109.3933,0.03682
