Age,L,M,S
0,1.000000,49.1477,0.03790
1,1.000000,53.6872,0.03640
2,1.000000,56.7450,0.03540
3,1.000000,59.8029,0.03440
4,1.000000,61.7790,0.03387
5,1.000000,63.7550,0.03333
6,1.000000,65.7311,0.03280
7,1.000000,67.1118,0.03267
8,1.000000,68.4924,0.03253
9,1.000000,69.8731,0.03240
10,1.000000,71.2537,0.03227
11,1.000000,72.6343,0.03213
12,1.000000,74.0150,0.03200
13,1.000000,75.0514,0.03205
14,1.000000,76.0879,0.03210
15,1.000000,77.1243,0.03215
16,1.000000,78.1607,0.03220
17,1.000000,79.1972,0.03225
18,1.000000,80.2336,0.03230
19,1.000000,81.2700,0.03235
20,1.000000,82.3065,0.03240
21,1.000000,83.3429,0.03245
22,1.000000,84.3793,0.03250
23,1.000000,85.4158,0.03255
24,1.000000,86.4522,0.03260
25,1.000000,87.2104,0.03272
26,1.000000,87.9686,0.03283
27,1.000000,88.7268,0.03295
28,1.000000,89.4850,0.03307
29,1.000000,90.2432,0.03318
30,1.000000,91.0014,0.03330
31,1.000000,91.7596,0.03342
32,1.000000,92.5178,0.03353
33,1.000000,93.2760,0.03365
34,1.000000,94.0342,0.03377
35,1.000000,94.7924,0.03388
36,1.000000,95.5506,0.03400
37,1.000000,96.1630,0.03413
38,1.000000,96.7755,0.03427
39,1.000000,97.3879,0.03440
40,1.000000,98.0003,0.03453
41,1.000000,98.6127,0.03467
42,1.000000,99.2251,0.03480
43,1.000000,99.8376,0.03493
44,1.000000,100.4500,0.03507
45,1.000000,101.0624,0.03520
46,1.000000,101.6748,0.03533
47,1.000000,102.2873,0.03547
48,1.000000,102.8997,0.03560
49,1.000000,103.4158,0.03575
50,1.000000,103.9320,0.03590
51,1.000000,104.4481,0.03605
52,1.000000,104.9642,0.03620
53,1.000000,105.4804,0.03635
54,1.000000,105.9965,0.03650
55,1.000000,106.5126,0.03665
56,1.000000,107.0288,0.03680
57,1.000000,107.5449,0.03695
58,1.000000,108.0610,0.03710
59,1.000000,108.5772,0.03725
60,1.000000,109.0933,0.03740
