Age,L,M,S
0,-0.063100,3.3464,0.14602
1,0.108700,4.4709,0.13395
2,0.230200,5.5675,0.12385
3,0.298100,6.3762,0.11727
4,0.298133,6.8955,0.11471
5,0.298167,7.4147,0.11214
6,0.298200,7.9340,0.10958
7,0.285333,8.2565,0.10876
8,0.272467,8.5789,0.10795
9,0.259600,8.9014,0.10713
10,0.231000,9.1502,0.10795
11,0.202400,9.3991,0.10876
12,0.173800,9.6479,0.10958
13,0.166517,9.9007,0.10949
14,0.159233,10.1534,0.10939
15,0.151950,10.4062,0.10930
16,0.144667,10.6589,0.10921
17,0.137383,10.9116,0.10911
18,0.130100,11.1644,0.10902
19,0.133517,11.3289,0.10840
20,0.136933,11.4934,0.10777
21,0.140350,11.6579,0.10715
22,0.143767,11.8225,0.10652
23,0.147183,11.9870,0.10590
24,0.150600,12.1515,0.10527
25,0.148525,12.3341,0.10515
26,0.146450,12.5167,0.10504
27,0.144375,12.6994,0.10493
28,0.142300,12.8820,0.10481
29,0.140225,13.0646,0.10469
30,0.138150,13.2472,0.10458
31,0.136075,13.4298,0.10447
32,0.134000,13.6124,0.10435
33,0.131925,13.7950,0.10423
34,0.129850,13.9777,0.10412
35,0.127775,14.1603,0.10401
36,0.125700,14.3429,0.10389
37,0.124217,14.5160,0.10390
38,0.122733,14.6892,0.10390
39,0.121250,14.8623,0.10391
40,0.119767,15.0355,0.10392
41,0.118283,15.2087,0.10393
42,0.116800,15.3818,0.10393
43,0.115317,15.5549,0.10394
44,0.113833,15.7281,0.10395
45,0.112350,15.9013,0.10396
46,0.110867,16.0744,0.10397
47,0.109383,16.2476,0.10397
48,0.107900,16.4207,0.10398
49,0.106875,16.5834,0.10404
50,0.105850,16.7461,0.10411
51,0.104825,16.9088,0.10417
52,0.103800,17.0715,0.10423
53,0.102775,17.2342,0.10429
54,0.101750,17.3970,0.10436
55,0.100725,17.5597,0.10442
56,0.099700,17.7224,0.10448
57,0.098675,17.8851,0.10454
58,0.097650,18.0478,0.10461
59,0.096625,18.2105,0.10467
60,0.095600,18.3732,0.10473
