Age,L,M,S
0,-0.063100,3.2322,0.14171
1,0.047400,4.1873,0.13724
2,0.125700,5.1282,0.13126
3,0.182800,5.8458,0.12619
4,0.189467,6.3295,0.12380
5,0.196133,6.8133,0.12141
6,0.202800,7.2970,0.11902
7,0.193167,7.6065,0.11794
8,0.183533,7.9159,0.11686
9,0.173900,8.2254,0.11578
10,0.155433,8.4663,0.11617
11,0.136967,8.7072,0.11656
12,0.118500,8.9481,0.11695
13,0.111717,9.1627,0.11675
14,0.104933,9.3774,0.11656
15,0.098150,9.5920,0.11636
16,0.091367,9.8066,0.11617
17,0.084583,10.0213,0.11597
18,0.077800,10.2359,0.11578
19,0.077800,10.4137,0.11550
20,0.077800,10.5914,0.11522
21,0.077800,10.7692,0.11493
22,0.077800,10.9470,0.11465
23,0.077800,11.1247,0.11437
24,0.077800,11.3025,0.11409
25,0.076683,11.4634,0.11398
26,0.075567,11.6244,0.11388
27,0.074450,11.7854,0.11377
28,0.073333,11.9463,0.11366
29,0.072217,12.1073,0.11356
30,0.071100,12.2682,0.11345
31,0.069983,12.4291,0.11334
32,0.068867,12.5901,0.11324
33,0.067750,12.7510,0.11313
34,0.066633,12.9120,0.11302
35,0.065517,13.0730,0.11292
36,0.064400,13.2339,0.11281
37,0.063200,13.3771,0.11281
38,0.062000,13.5202,0.11281
39,0.060800,13.6634,0.11281
40,0.059600,13.8066,0.11281
41,0.058400,13.9497,0.11281
42,0.057200,14.0929,0.11281
43,0.056000,14.2361,0.11281
44,0.054800,14.3792,0.11281
45,0.053600,14.5224,0.11281
46,0.052400,14.6656,0.11281
47,0.051200,14.8087,0.11281
48,0.050000,14.9519,0.11281
49,0.049167,15.0872,0.11290
50,0.048333,15.2225,0.11298
51,0.047500,15.3579,0.11307
52,0.046667,15.4932,0.11316
53,0.045833,15.6285,0.11324
54,0.045000,15.7638,0.11333
55,0.044167,15.8991,0.11342
56,0.043333,16.0344,0.11350
57,0.042500,16.1698,0.11359
58,0.041667,16.3051,0.11368
59,0.040833,16.4404,0.11376
60,0.040000,16.5757,0.11385
